StromalScore	ImmuneScore	ESTIMATEScore	TumorPurity
TCGA-L5-A88Y-01	351.121690865704	1560.75336426389	1911.8750551296	0.632803139562412
TCGA-JY-A6FA-01	-1526.34880413097	-681.546654821921	-2207.8954589529	0.960808058866729
TCGA-S8-A6BW-01	503.523806714838	-156.026913478295	347.496893236543	0.792440986217371
TCGA-L5-A893-01	-658.072506638725	1270.81169808383	612.739191445109	0.768098394131392
TCGA-L5-A88V-01	-948.229966726373	-173.366775122968	-1121.59674184934	0.904602609719104
TCGA-JY-A938-01	-217.370839850352	1445.51751383245	1228.1466739821	0.707201015522967
TCGA-VR-A8EY-01	-1013.80496033278	-200.309070112275	-1214.11403044505	0.910307769227615
TCGA-L5-A8NI-01	-34.8457304645428	170.443795760855	135.598065296312	0.811026641750427
TCGA-VR-A8ET-01	-1009.41770844649	-180.555225332709	-1189.9729337792	0.908835233431292
TCGA-IG-A51D-01	-58.1503670525234	783.851690475412	725.701323422889	0.757375607959972
TCGA-IG-A97H-01	-308.007201140798	842.219956536829	534.212755396031	0.775428161714198
TCGA-2H-A9GH-01	-423.12747104798	509.795064654689	86.667593606709	0.815207471622452
TCGA-R6-A6DN-01	-769.660439540703	441.743840453136	-327.916599087567	0.848922635646935
TCGA-R6-A6DQ-01	-123.209165346848	1047.26976407289	924.060598726038	0.738044569924192
TCGA-L5-A4OP-01	-1066.19556979216	529.721190355802	-536.474379436362	0.864702281711855
TCGA-Z6-A8JE-01	206.423269155957	-103.147631315459	103.275637840499	0.813793112739968
TCGA-LN-A9FQ-01	127.848304721849	-11.3277491772926	116.520555544557	0.812661694314949
TCGA-LN-A7HV-01	-951.556877883413	-52.335859791725	-1003.89273767514	0.897103288837939
TCGA-IG-A3I8-01	-956.920818921147	-586.39221226648	-1543.31303118763	0.929239646859855
TCGA-2H-A9GI-01	-1165.81142780401	496.330872744765	-669.480555059246	0.874343350150672
TCGA-LN-A49Y-01	-502.273849710864	-295.31520412535	-797.589053836214	0.883314360463027
TCGA-L5-A8NE-01	-1421.78720814109	-124.139119266539	-1545.92632740763	0.929381310665808
TCGA-VR-A8EZ-01	-24.3420419267333	201.182097346817	176.840055420084	0.807470246180543
TCGA-VR-A8EU-01	-197.610892926323	729.571396961829	531.960504035506	0.775636874769754
TCGA-R6-A8WC-01	-1614.06344089994	-838.278721480473	-2452.34216238041	0.970134458002716
TCGA-LN-A7HY-01	447.927841327237	661.821224783495	1109.74906611073	0.719381047371582
TCGA-L5-A8NJ-01	-1931.69639819162	-288.78485182099	-2220.48125001261	0.961318558319538
TCGA-L5-A88Z-01	-694.114877932223	-179.772900094623	-873.887778026846	0.888509091750618
TCGA-IG-A3QL-01	-515.471539063275	-821.202215199844	-1336.67375426312	0.9176068410089
TCGA-L5-A43E-01	-1309.40310350399	281.601558877749	-1027.80154462624	0.898648346989625
TCGA-JY-A6FG-01	-1124.64861592976	-186.221147961008	-1310.86976389077	0.916094681761359
TCGA-LN-A4A1-01	-170.936552737965	262.879058584891	91.9425058469268	0.814758779064794
TCGA-LN-A9FR-01	704.161191576484	512.039403437009	1216.20059501349	0.708439706466395
TCGA-L5-A8NS-01	477.952827853895	1064.86947164749	1542.82229950138	0.673800898828631
TCGA-L5-A4OO-01	659.887887673511	1539.19910870584	2199.08699637936	0.59960597089899
TCGA-IG-A3YA-01	718.162548178283	1594.38004964172	2312.54259782	0.58619534512776
TCGA-R6-A8W8-01	-984.080514878898	444.634863868675	-539.445651010223	0.864921270047913
TCGA-LN-A9FO-01	-798.945277173462	1003.09295028602	204.147673112554	0.805099152552509
