"","GeneSet"
"TCGA-L5-A88Y-01",5.22234264289152
"TCGA-JY-A6FA-01",5.53806676655457
"TCGA-S8-A6BW-01",5.47055316678081
"TCGA-L5-A893-01",5.36118984400801
"TCGA-L5-A88V-01",5.58124357734107
"TCGA-JY-A938-01",5.49182364106352
"TCGA-VR-A8EY-01",5.57819252956911
"TCGA-L5-A8NI-01",5.50397095035713
"TCGA-VR-A8ET-01",5.31532878916506
"TCGA-IG-A51D-01",5.52106028166413
"TCGA-IG-A97H-01",5.55477120370788
"TCGA-2H-A9GH-01",5.37628685182577
"TCGA-R6-A6DN-01",5.47666071152496
"TCGA-R6-A6DQ-01",5.40318595502103
"TCGA-L5-A4OP-01",5.12174546449489
"TCGA-Z6-A8JE-01",5.43806468736424
"TCGA-LN-A9FQ-01",5.39458146424129
"TCGA-LN-A7HV-01",5.60033679165473
"TCGA-IG-A3I8-01",5.5087833841321
"TCGA-2H-A9GI-01",5.30636211913456
"TCGA-LN-A49Y-01",5.398291809852
"TCGA-L5-A8NE-01",5.36043642642583
"TCGA-VR-A8EZ-01",5.48701440444683
"TCGA-VR-A8EU-01",5.5178029683274
"TCGA-R6-A8WC-01",5.50421948261469
"TCGA-LN-A7HY-01",5.31127158173703
"TCGA-L5-A8NJ-01",5.47144744211798
"TCGA-L5-A88Z-01",5.36420963506014
"TCGA-IG-A3QL-01",5.55932323793909
"TCGA-L5-A43E-01",5.22234442076132
"TCGA-JY-A6FG-01",5.17296542528303
"TCGA-LN-A4A1-01",5.40859916995224
"TCGA-LN-A9FR-01",5.44534150665061
"TCGA-L5-A8NS-01",5.20933135374785
"TCGA-L5-A4OO-01",5.20235141665275
"TCGA-IG-A3YA-01",5.49486961806801
"TCGA-R6-A8W8-01",5.29385014468035
"TCGA-LN-A9FO-01",5.57187293695924
"TCGA-L5-A8NN-01",5.37734281071586
"TCGA-L5-A4OM-01",5.53302525911841
"TCGA-LN-A4A4-01",5.3673888900607
"TCGA-IG-A7DP-01",5.31208964268237
"TCGA-2H-A9GR-01",5.17821462684052
"TCGA-LN-A4A3-01",5.35734043337105
"TCGA-V5-A7RB-01",5.46014060361027
"TCGA-L5-A4OH-01",5.43118259537045
"TCGA-IG-A3YB-01",5.27841790156893
"TCGA-XP-A8T6-01",5.36482192120233
"TCGA-L7-A56G-01",5.49408633134251
"TCGA-LN-A5U7-01",5.60634643993457
"TCGA-V5-AASX-01",5.31811400683203
"TCGA-JY-A6FD-01",5.5671705883603
"TCGA-L5-A4OJ-01",5.34760231116505
"TCGA-L5-A88W-01",5.55106958305542
"TCGA-L5-A8NG-01",5.31992718772588
"TCGA-VR-A8EX-01",5.34077488513899
"TCGA-LN-A8HZ-01",5.58136382637334
"TCGA-JY-A93D-01",5.24089902627677
"TCGA-V5-AASW-01",5.55905605285396
"TCGA-M9-A5M8-01",5.45982001441332
"TCGA-2H-A9GN-01",5.51324115240085
"TCGA-L5-A8NU-01",5.13294498293088
"TCGA-L5-A4OG-01",5.40560838451577
"TCGA-L5-A8NM-01",5.53477446216211
"TCGA-L5-A8NL-01",5.40249939483864
"TCGA-L5-A43J-01",5.42979024939127
"TCGA-L5-A88S-01",5.29414385224371
"TCGA-R6-A6XG-01",5.34218428629768
"TCGA-LN-A7HZ-01",5.50143372218233
"TCGA-IG-A5B8-01",5.37748759504167
"TCGA-V5-AASV-01",5.52433436901698
